==============================
Date/Time: 27-10-2021 22-35-18
==============================

==============================
Date/Time: 27-10-2021 22-37-05
==============================

==============================
Date/Time: 27-10-2021 22-44-56
==============================

==============================
RPM:    944.2	Δt: 63.546
RPM:   943.32	Δt: 63.605
RPM:   941.94	Δt: 63.698
RPM:   941.06	Δt: 63.758
RPM:   940.56	Δt: 63.792
RPM:   875.99	Δt: 68.494
RPM:   775.69	Δt: 77.35
RPM:   720.44	Δt: 83.283
RPM:   689.54	Δt: 87.015
RPM:   676.12	Δt: 88.741
RPM:   668.88	Δt: 89.702
RPM:   666.79	Δt: 89.984
RPM:   665.19	Δt: 90.2
RPM:   663.45	Δt: 90.436
RPM:   555.92	Δt: 107.929
RPM:   458.53	Δt: 130.853
RPM:   421.12	Δt: 142.476
RPM:   410.24	Δt: 146.255
RPM:   407.61	Δt: 147.2
RPM:   440.91	Δt: 136.081
RPM:   575.65	Δt: 104.23
RPM:   629.33	Δt: 95.339
RPM:    649.6	Δt: 92.365
RPM:   658.86	Δt: 91.066
RPM:   662.73	Δt: 90.535
RPM:   663.58	Δt: 90.419
RPM:   664.95	Δt: 90.232
RPM:   705.85	Δt: 85.004
RPM:    819.6	Δt: 73.206
RPM:      877	Δt: 68.415
RPM:   904.69	Δt: 66.321
RPM:   922.13	Δt: 65.067
RPM:   930.12	Δt: 64.508
RPM:   935.18	Δt: 64.159
RPM:   937.18	Δt: 64.022
RPM:   939.44	Δt: 63.868
RPM:   939.79	Δt: 63.844
RPM:   940.85	Δt: 63.772
RPM:   954.88	Δt: 62.835
RPM:   1046.6	Δt: 57.331
RPM:   1112.1	Δt: 53.95
RPM:   1149.6	Δt: 52.192
RPM:   1173.5	Δt: 51.128
RPM:   1189.8	Δt: 50.428
RPM:   1200.9	Δt: 49.961
RPM:   1204.3	Δt: 49.822
RPM:   1207.2	Δt: 49.703
RPM:     1213	Δt: 49.463
RPM:     1211	Δt: 49.545
RPM:   1215.8	Δt: 49.352
RPM:   1214.4	Δt: 49.409
RPM:   1215.3	Δt: 49.371
RPM:   1214.5	Δt: 49.402
RPM:   1243.7	Δt: 48.244
RPM:   1322.6	Δt: 45.366
RPM:     1374	Δt: 43.669
RPM:   1408.6	Δt: 42.596
RPM:   1435.5	Δt: 41.796
RPM:   1450.7	Δt: 41.359
RPM:   1459.4	Δt: 41.114
RPM:   1470.7	Δt: 40.797
RPM:     1473	Δt: 40.734
RPM:   1480.7	Δt: 40.522
RPM:   1481.2	Δt: 40.508
