==============================
Date/Time: 27-10-2021 22-35-18
==============================

==============================
Date/Time: 27-10-2021 22-37-05
==============================

==============================
Date/Time: 27-10-2021 22-44-56
==============================

==============================
E(t):  -16.932	Δt: 50
E(t):  -62.416	Δt: 50
E(t):   130.27	Δt: 50
E(t):   78.822	Δt: 50
E(t):   -40.23	Δt: 50
E(t):  -123.62	Δt: 50
E(t):  -106.97	Δt: 50
E(t):  -106.97	Δt: 50
E(t):   752.67	Δt: 50
E(t):   752.67	Δt: 50
E(t):   752.67	Δt: 50
E(t):   1030.8	Δt: 50
E(t):   179.47	Δt: 50
E(t):   179.47	Δt: 50
E(t):  -44.669	Δt: 50
E(t):  -141.15	Δt: 50
E(t):  -141.15	Δt: 50
E(t):  -351.82	Δt: 50
E(t):   -431.5	Δt: 50
E(t):  -534.86	Δt: 50
E(t):  -624.56	Δt: 50
E(t):  -643.53	Δt: 50
E(t):  -563.35	Δt: 50
E(t):  -489.88	Δt: 50
E(t):     1400	Δt: 50
E(t):   857.48	Δt: 50
E(t):  -65.917	Δt: 50
E(t):  -152.35	Δt: 50
E(t):     -144	Δt: 50
E(t):  -171.59	Δt: 50
E(t):  -228.66	Δt: 50

==============================
Date/Time: 28-10-2021 18-34-40
==============================
E(t):     1400	Δt: 74
E(t):     1400	Δt: 50
E(t):     1400	Δt: 50
E(t):     1400	Δt: 50
E(t):     1400	Δt: 50
E(t):   1201.1	Δt: 50
E(t):   1201.1	Δt: 50
E(t):   873.61	Δt: 50
E(t):   873.61	Δt: 50
E(t):    687.5	Δt: 50
E(t):    687.5	Δt: 50
E(t):    687.5	Δt: 50
E(t):    687.5	Δt: 50
E(t):   1072.3	Δt: 50
E(t):   161.43	Δt: 50
E(t):   713.78	Δt: 50
E(t):   713.78	Δt: 50
E(t):   646.53	Δt: 50
E(t):  -251.44	Δt: 50
E(t):  -311.79	Δt: 50
E(t):  -411.54	Δt: 50
E(t):  -459.02	Δt: 50
E(t):  -494.24	Δt: 50
E(t):   -625.8	Δt: 50
E(t):  -667.04	Δt: 50
E(t):  -734.47	Δt: 50
E(t):  -764.11	Δt: 50
E(t):  -826.92	Δt: 50
E(t):  -859.04	Δt: 50
E(t):   248.21	Δt: 50
E(t):  -949.26	Δt: 50
E(t):  -1010.5	Δt: 50
E(t):  -1045.8	Δt: 50
E(t):  -1078.8	Δt: 50
E(t):  -1128.1	Δt: 50
E(t):  -1142.3	Δt: 50
E(t):  -1161.7	Δt: 50
E(t):  -1194.8	Δt: 50
E(t):  -1204.3	Δt: 50
E(t):  -1199.5	Δt: 50
E(t):   575.88	Δt: 50
E(t):  -961.37	Δt: 50
E(t):  -939.82	Δt: 50
E(t):  -873.33	Δt: 50
E(t):  -817.46	Δt: 50
E(t):     1400	Δt: 50
E(t):     1400	Δt: 50
E(t):  -472.78	Δt: 50
E(t):     1400	Δt: 50
E(t):     1400	Δt: 50
E(t):  -463.41	Δt: 50
E(t):  -484.42	Δt: 50
E(t):  -398.29	Δt: 50
E(t):   -426.6	Δt: 50
E(t):  -430.78	Δt: 50
E(t):     1400	Δt: 50
E(t):   820.03	Δt: 50
E(t):  -312.82	Δt: 50
E(t):  -331.55	Δt: 50
E(t):  -307.65	Δt: 50
E(t):  -329.46	Δt: 50
E(t):   -332.7	Δt: 50
E(t):  -381.05	Δt: 50
E(t):  -338.98	Δt: 50
E(t):     1400	Δt: 50
E(t):   849.14	Δt: 50
E(t):  -232.34	Δt: 50
E(t):  -251.39	Δt: 50

==============================
Date/Time: 28-10-2021 18-35-08
==============================
E(t):     1400	Δt: 72
E(t):     1400	Δt: 50
E(t):     1400	Δt: 50
E(t):     1400	Δt: 50
E(t):     1400	Δt: 50
E(t):     1400	Δt: 50
E(t):     1400	Δt: 50
E(t):     1400	Δt: 50
E(t):     1400	Δt: 50
E(t):     1400	Δt: 50
E(t):     1400	Δt: 50
E(t):   1303.4	Δt: 50
E(t):   1303.4	Δt: 50
E(t):    507.2	Δt: 50
E(t):   362.82	Δt: 50
E(t):   362.82	Δt: 50
E(t):   792.69	Δt: 50
