RPM,deltaT
1701.69,35259
1706.15,35167
1704.26,35206
1703.19,35228
1703.82,35215
1702.66,35239
1704.84,35194
1703.09,35230
1703.43,35223
1703.48,35222
1703.34,35225
1700.1,35292
1701.02,35273
1701.79,35257
1701.21,35269
1699.86,35297
1705.95,35171
1700.97,35274
1696.3,35371
1702.85,35235
1701.89,35255
1703.19,35228
1701.07,35272
1698.32,35329
1697.74,35341
1703.29,35226
1701.26,35268
1702.66,35239
1698.32,35329
1700.54,35283
1699.28,35309
1696.88,35359
1700.73,35279
1697.65,35343
1693.77,35424
1699.52,35304
1700.44,35285
1696.93,35358
1695.2,35394
1686.34,35580
1672.94,35865
1655.4,36245
1641.77,36546
1622.94,36970
1603.72,37413
1585.46,37844
1558.2,38506
1537.87,39015
1513.32,39648
1480.93,40515
1456.06,41207
1423.69,42144
1391.05,43133
1357.37,44203
1322.14,45381
1281.42,46823
1242.52,48289
1200.7,49971
1155.11,51943
1107.03,54199
1053.41,56958
998.187,60109
938.35,63942
870.171,68952
796.622,75318
713.615,84079
616.669,97297
497.17,120683
325.143,184534

